,DC.C01.4861,DC.C01.4811,DC.C01.3000,DC.C01.1000,DC.C01.900,DC.C01N.120,DC.C01.80,DC.C01.5,DC.C14.4183,DC.C14.4138,DC.C14.2000,DC.C14N.1000,DC.C14.150,DC.C14.120,DC.C14.70,DC.C14.5,DC2.R04C06.05to1,DC2.R04C06.0to05,DC2.R04C06.10to15r,DC2.R04C06.1to5,DC2.R04C06.5to10,DC2.R14C27.05to1,DC2.R14C27.0to05,DC2.R14C27.10to15,DC2.R14C27.1to5,DC2.R14C27.5to10
sp1,0.00112565,0.00084353,0,0,0,0,0,0,0.00056243,0,0,0,0,0,0,0.00014045,0.02066233,0.0416489,0.00056513,0.00509194,0.00325779,0.00964676,0.00509843,0.00297282,0.00311438,0.00056537
sp2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02094537,0.0177683,0.01215032,0.02404526,0.02648725,0.01773301,0.01841099,0.00651189,0.01090034,0.01159011
sp3,0.00014071,0,0,0,0,0,0,0,0,0.00014065,0,0,0,0,0,0,0.01769035,0.01876333,0.00141283,0.0145686,0.01062323,0.00723507,0.0055233,0.00141563,0.00297282,0.0029682
sp4,0.07781061,0.07324617,0.03444398,0,0,0,0,0.00014047,0.09167604,0.0907173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp5,0.0310961,0.0216505,0.07029383,0.04473203,0.0341484,0,0,0,0.02629359,0.03895921,0.06729418,0.04648876,0.00252916,0.00211089,0,0,0,0,0,0,0,0,0,0,0,0
sp6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00721766,0.00525942,0.00042385,0.00693069,0.00311615,0.00581643,0.00708115,0.00028313,0.00169875,0.0009894
sp7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006227,0.00639659,0.0057926,0.00806223,0.00481586,0.0035466,0.00396544,0.01146659,0.00339751,0.00268551
sp8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049533,0.00469083,0.01243289,0.01046676,0.01005666,0.00780253,0.00892225,0.01033409,0.00962627,0.01088339
sp9,0.00168848,0.00098411,0.00126529,0.00154733,0.00140528,0.00168705,0.01166714,0.01994662,0.00112486,0,0.00042147,0.00014045,0.00112407,0.00140726,0.02993675,0.0011236,0.00042457,0.00042644,0,0.00014144,0,0,0,0,0.00014156,0
sp10,0,0,0.00042176,0,0,0,0.00084341,0.00028094,0.00224972,0.00112518,0,0.00210674,0,0.00028145,0.033591,0.20463483,0,0,0,0,0,0,0,0,0,0
sp11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268893,0.00071073,0.0436564,0.00749646,0.02167139,0.0070932,0.00580654,0.03496602,0.01203284,0.01342756
sp12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00679309,0.00199005,0.00098898,0.00339463,0.00254958,0.00425592,0.00311571,0.00056625,0.00523783,0.0059364
sp13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00551939,0.00241649,0.00762927,0.00537482,0.00807365,0.00780253,0.00764764,0.00028313,0.00976784,0.00522968
sp14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp15,0,0,0,0.0478267,0.06956155,0,0,0,0,0,0.04903063,0.06910112,0.04088801,0.0091472,0.0002811,0,0,0,0,0,0,0,0,0,0,0
sp16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00750071,0.00554371,0.0008477,0.00424328,0.00396601,0.00496524,0.00453194,0.00127407,0.00283126,0.00381625
sp17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00438721,0.00326937,0.01200904,0.00537482,0.00849858,0.0075188,0.00708115,0.01387316,0.00750283,0.01088339
sp18,0.01702547,0.02727401,0.02882047,0.01645801,0.01096121,0,0,0,0.034027,0.03094233,0.03104805,0.01474719,0.00056203,0.00197017,0,0,0,0,0,0,0,0,0,0,0,0
sp19,0.04193049,0.03894278,0.0227752,0.000422,0,0,0,0.00014047,0.04049494,0.03431786,0.00702445,0.00014045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00042385,0.00155587,0,0.00113491,0.00099136,0,0,0.00084806
sp21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00721766,0.00511727,0.00367335,0.01018388,0.00538244,0.00439779,0.00382382,0.00141563,0.00283126,0.00508834
sp22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00056609,0,0.00296694,0.00113154,0.00155807,0.00170237,0.00198272,0.00368063,0.0011325,0.00254417
sp23,0,0,0,0.000422,0,0.01729228,0.06044419,0.05267594,0,0,0.00028098,0.00042135,0.00140509,0.00154799,0.02670415,0.02331461,0,0,0,0,0,0,0,0,0,0
sp24,0.00028141,0,0,0.000844,0,0,0.06887827,0.08666948,0,0,0,0,0,0,0.01040056,0.0011236,0,0,0,0,0,0,0,0,0,0
sp25,0.03025186,0.03064811,0.02038521,0,0,0,0,0.00014047,0.03613611,0.03108298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sp26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00438721,0.00469083,0.00113026,0.00480905,0.0029745,0.00283728,0.00297408,0.00240657,0.00127407,0.00240283
sp27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00764223,0.00469083,0.00183668,0.00636492,0.00354108,0.00397219,0.00410707,0.00198188,0.00339751,0.00240283
sp28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00566091,0.00284293,0.00395592,0.0049505,0.00580737,0.00652575,0.00580654,0.00254813,0.0087769,0.00763251
sp29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00580243,0.00440654,0.00197796,0.00792079,0.00835694,0.00695134,0.00977199,0.00226501,0.00467157,0.00508834
sp30,0.00028141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031135,0.0021322,0.00960723,0.00579915,0.01076487,0.00297915,0.00424869,0.00254813,0.00467157,0.00310954
sp31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240589,0.0021322,0.00847697,0.00664781,0.00637394,0.0075188,0.00608979,0.00453001,0.00721971,0.00777385
sp32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268893,0.0021322,0.00028257,0.00240453,0.00184136,0.00085118,0.00212434,0,0.00028313,0
sp33,0,0,0,0.00028133,0,0.02094756,0.0534158,0.03638151,0,0,0,0,0.00407475,0.00436251,0.02698524,0.0125,0,0,0,0,0,0.00014186,0,0,0,0
sp34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00452873,0.00284293,0.01158519,0.00565771,0.00934844,0.00624202,0.0049568,0.0099094,0.00594564,0.00918728
sp35,0.0021106,0.00056235,0.00084353,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141523,0.00341151,0,0.00070721,0.00014164,0.00042559,0.00042487,0,0,0
sp36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169827,0.00071073,0.00847697,0.0039604,0.00509915,0.00496524,0.00467356,0.02307475,0.01656285,0.01865724
sp37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268893,0.00469083,0.00098898,0.0039604,0.00311615,0.00312101,0.00127461,0.00028313,0.00084938,0.00014134
sp38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339655,0.00326937,0,0.00268741,0.00070822,0.00226983,0.00325733,0.00014156,0.00198188,0.00141343
sp39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00325502,0.0018479,0.00734671,0.00325318,0.00368272,0.00524897,0.00311571,0.00396376,0.00594564,0.0059364
sp40,0,0,0,0,0,0,0,0,0.00070304,0,0,0,0,0,0,0,0.0049533,0.00298507,0.00551003,0.00650636,0.00509915,0.00595829,0.00509843,0.00240657,0.00523783,0.00424028
sp41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113218,0.00085288,0.00113026,0.00339463,0.00184136,0.00241169,0.00226597,0.00155719,0.00254813,0.00254417
sp42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297198,0.00255864,0.00423849,0.00367751,0.00311615,0.00212796,0.00283246,0.00184032,0.00226501,0.00254417
sp43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297198,0.00383795,0.00113026,0.00240453,0.00113314,0.00127678,0.00084974,0.00084938,0.0011325,0.0009894
sp44,0,0,0,0,0,0,0.01208884,0.03385307,0,0.00014065,0,0,0,0,0.03457484,0.02724719,0,0,0,0,0,0,0,0,0,0
sp45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594396,0.00369581,0.00183668,0.00424328,0.00212465,0.00411406,0.00424869,0.0011325,0.00268969,0.00268551
sp46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240589,0.00099502,0.01144391,0.00367751,0.0072238,0.0075188,0.00764764,0.0148641,0.0060872,0.01144876
sp47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00127371,0.00113717,0.00028257,0.0009901,0.00028329,0.00070932,0.00099136,0.00056625,0.00070781,0.00042403
sp48,0.00028141,0,0.00028118,0,0,0,0,0,0.00646794,0.00295359,0.00070244,0,0,0.00028145,0,0,0,0,0,0,0,0,0,0,0,0
