,Sp22Columbia,Sp22upperColumbia,Sp22Willamette,Fa23Columbia,Fa23Sandy,Fa23Willamette
sp1,0.001674419,0.001383721,0.018697674,0.001197674,0.003430233,0.018348837
sp2,0.001476744,0.000825581,0.015430233,0.001093023,0.004046512,0.016011628
sp3,0.002569767,0.00405814,0.000395349,0.021534884,0,0.00172093
sp4,0.001488372,0.001569767,0.017232558,0.000953488,0.00472093,0.009837209
sp5,0.001848837,0.00272093,0.000767442,0.020209302,0.000162791,0.001813953
sp6,0.001325581,0.000976744,0.014744186,0.001139535,0.004709302,0.009581395
sp7,0,0,0,0.000139535,0.000127907,0.022593023
sp8,0.000988372,0.000767442,0.013011628,0.001093023,0.002825581,0.011686047
sp9,0.001081395,0.000639535,0.014569767,0.000930233,0.003209302,0.010732558
sp10,0,0,0,0.000348837,0,0.023290698
sp11,0.002011628,0.003,0.000662791,0.016593023,0,0.001116279
sp12,0.005046512,0.003732558,0.004313953,0.00544186,0.000813953,0.007069767
sp13,0.004488372,0.003883721,0.003744186,0.00577907,0.000813953,0.006383721
sp14,0.005488372,0.005930233,0.004453488,0.005872093,0.001290698,0.004418605
sp15,0.001174419,0.000965116,0.013232558,0.000767442,0.003534884,0.006604651
sp16,0.00122093,0.001023256,0.012151163,0.000837209,0.003581395,0.006837209
sp17,0.004860465,0.004453488,0.004069767,0.005697674,0.001255814,0.004290698
sp18,0.001802326,0.002430233,0,0.014465116,0,0.001034884
sp19,0,0,0,0.000174419,0,0.015325581
sp20,0,0,0,0,0,0.015616279
sp21,0.004418605,0.005069767,0.003406977,0.004639535,0.000837209,0.002732558
sp22,0.00094186,0.001127907,0.01122093,0.000755814,0.002302326,0.004697674
sp23,0.003709302,0.004069767,0.003174419,0.004418605,0.001023256,0.002953488
sp24,0.003872093,0.002918605,0.003546512,0.004383721,0.000546512,0.003825581
sp25,0.001081395,0.000918605,0.01094186,0.000534884,0.001895349,0.004744186
sp26,0.003697674,0.002825581,0.003046512,0.00427907,0.000662791,0.004244186
sp27,0.001895349,0.002302326,0.002744186,0.005104651,0.000523256,0.004813953
sp28,0.001267442,0.001139535,0,0.000837209,0.000383721,0.011046512
sp29,0.001186047,0.001488372,0.001930233,0.00527907,0.000790698,0.004395349
sp30,0,0,0.000790698,0,0,0.011755814
sp31,0.00177907,0.002069767,0.000511628,0.008755814,8.13953E-05,0.000883721
sp32,0.00455814,0.004127907,0.003709302,0.003244186,0.000476744,0.002127907
sp33,0.010802326,0.012511628,0,0,0,0.000162791
sp34,0.011325581,0.010895349,0.000848837,0,0,0
sp35,0.003244186,0.003872093,0.003383721,0.002860465,0.000697674,0.002302326
sp36,0.001162791,0.000883721,0,0.000895349,0.000383721,0.008837209
sp37,0.001116279,0.001127907,0.006011628,0.000209302,0.004581395,0.002488372
sp38,0.000790698,0.00072093,0.000383721,0.007802326,0,0.002069767
sp39,0.000883721,0.000883721,0.008930233,0.000395349,0.001488372,0.003476744
sp40,0.00094186,0.001348837,0.00194186,0.004604651,0.000534884,0.0025
sp41,0.001593023,0.001488372,0.001988372,0.004732558,0.000476744,0.001976744
sp42,0.001232558,0.001511628,0.00577907,0.000162791,0.003569767,0.001755814
sp43,0.001325581,0.001337209,0.004395349,8.13953E-05,0.005162791,0.001325581
sp44,0.00177907,0.001488372,0.002093023,0.003709302,0.000302326,0.002744186
sp45,0.000581395,0.0005,0.00077907,0.005476744,0,0.002348837
sp46,0.003162791,0.003418605,0.003139535,0.002534884,0.000581395,0.001430233
sp47,0.000569767,0.000755814,0.000174419,0.00705814,0.000267442,0.001174419
sp48,0.003069767,0.003581395,0.002674419,0.002395349,0.000430233,0.001406977
sp49,0.010023256,0.008302326,0,0,0,0
sp50,0.008604651,0.009081395,0.000616279,0,0,0
sp51,0.009255814,0.007976744,0,0,0,0.000627907
sp52,0.001116279,0.000988372,0.001802326,0.003732558,0.000418605,0.002627907
sp53,0.001069767,0.001290698,0.00494186,0.000186047,0.004174419,0.001
sp54,0.001313953,0.001476744,0.005767442,0.000186047,0.003081395,0.001162791
sp55,0.008127907,0.009593023,0,0,0,0
sp56,0,0,0.000639535,0,8.13953E-05,0.0085
sp57,0,0,0.000593023,0,0,0.008151163
sp58,0,0,0,0,0.000476744,0.007883721
sp59,0.000593023,0.000906977,0,0.000825581,0,0.007116279
sp60,0.006569767,0.007197674,0.000453488,0.00144186,0,0
sp61,0.007837209,0.008988372,0,0,0,0
sp62,0.003244186,0.003488372,0.002534884,0.00055814,0.002767442,0.000267442
sp63,0.007709302,0.008581395,0,0,0,0
sp64,0.000988372,0.000930233,0.0045,9.30233E-05,0.002930233,0.001767442
sp65,0.001383721,0.001255814,0.002883721,0.002523256,8.13953E-05,0.002581395
sp66,0.001360465,0.001627907,0.004174419,0.00022093,0.00355814,0.000604651
sp67,0.001430233,0.001081395,0.003488372,0.001860465,0.000511628,0.002267442
sp68,0.000465116,0.000697674,0.000255814,0.005395349,0,0.001534884
sp69,0.002860465,0.002593023,0.002337209,0.000651163,0.002744186,0.000232558
sp70,0.000837209,0.001093023,0.0035,0.000255814,0.003825581,0.000825581
sp71,0.001104651,0.000930233,0.003081395,0.001686047,0.00044186,0.002581395
sp72,0.000488372,0.00055814,0.001732558,0.000383721,0.003930233,0.001709302
sp73,0.001302326,0.00127907,0.001465116,0.003837209,0.000348837,0.001151163
sp74,0.000383721,0.000604651,0,0.005337209,0,0.001290698
sp75,0.0075,0.005325581,0.001383721,0,0,0.000302326
sp76,0.00705814,0.007604651,0.000348837,0,0,0
sp77,0.001139535,0.001081395,0.002825581,0.002093023,0.000127907,0.002813953
sp78,0.000895349,0.001034884,0.001244186,0.003790698,0.000348837,0.00155814
sp79,0,0,0.000488372,0.000244186,0.000174419,0.006383721
sp80,0.000534884,0.000430233,0.001383721,0.000430233,0.004255814,0.00155814
sp81,0.000476744,0.000348837,0.002139535,0.001069767,0.000790698,0.003976744
sp82,0.000523256,0.000348837,0.001523256,0.000302326,0.003116279,0.002546512
sp83,0.003162791,0.00222093,0.002255814,0.000651163,0.001988372,0.000767442
sp84,0.000488372,0.000360465,0.001767442,0.000383721,0.003174419,0.002372093
